subid,tier
23986459,6
26901229,6
24258886,1
21208870,7
20798159,2
24142665,3
26281541,4
22513194,6
26629688,7
21268962,1
22773076,6
22937829,6
28252259,8
24339598,7
28808650,7
25230928,5
22963334,7
21861572,6
23082672,3
27935940,5
24747804,8
29645403,8
27067190,1
29703046,1
28405066,6
20602376,1
26588092,2
27336416,7
20431677,4
23933199,7
29278720,8
22154451,1
29425202,6
20093433,8
27525000,7
29918432,5
27661006,4
24873981,8
24486720,4
21710892,4
26595916,5
24265137,6
29990106,8
22257579,3
22057102,6
25938337,1
24985753,5
26747778,1
24897894,8
27249697,3
28128148,7
29862764,6
21591339,8
28504606,7
27770819,8
25065210,4
24374707,4
22941825,2
29573711,4
26126572,1
28108901,6
28488720,5
21215711,5
24748484,3
24055058,8
20493116,6
25228345,1
29032991,2
24348386,8
24591841,2
28929254,2
24857903,4
23058437,3
27904337,1
20466347,4
24601722,6
26907646,6
25162617,8
26299701,1
28288091,4
23781148,4
20156282,4
26199320,8
24431022,8
29539944,8
24156211,7
26092325,4
28845220,1
21617688,6
25626858,2
21869212,8
21331109,5
25051587,6
27509108,8
22829200,2
25665027,4
29603928,6
22632406,2
24064366,3
20609309,4
22705957,6
23010882,7
28529912,1
28135459,8
29232816,1
27176171,3
23561890,8
21571160,2
25566880,4
28256130,1
20311522,6
25469604,8
28080232,6
29998796,8
20564153,2
25573929,6
23153782,7
29109870,4
24232497,4
27578160,5
24042230,1
21319159,8
28854400,8
28968994,7
22304327,2
24131852,5
23388675,4
20863057,6
26429662,3
23330166,2
26597697,3
22374487,3
23912912,7
21993976,2
29492324,1
24034935,8
27256560,8
20900435,6
28548506,2
28377287,7
26892602,6
27434702,7
26585065,7
29620903,5
21660876,8
27831104,4
28751129,4
20078659,8
28680718,6
20862440,5
24918263,6
29561556,5
27515960,2
23451638,5
26811620,4
27598687,5
27472112,6
22377424,5
20213964,3
28310153,5
28743310,1
24590806,8
22301379,5
20350394,1
25880569,4
20469887,1
24813626,7
25452438,1
25613200,1
26883548,7
28291841,8
20640762,6
28855314,6
26945073,8
22518851,4
29073012,1
25640121,7
24739857,6
21565857,2
20519277,4
20336828,4
24593673,7
20409990,1
24035713,3
28591362,6
26008428,1
26104504,5
25598646,8
22769194,2
29739776,3
24771299,8
27850470,3
21196283,3
29094418,7
22792348,7
20403075,6
20556855,6
23141645,8
21691815,6
21870996,3
21566850,4
24138871,6
26245389,7
25372273,8
22641500,6
25517342,3
23548866,1
22738634,5
24272060,3
23639941,2
25646852,7
26080683,6
21006888,3
21884115,3
29652262,3
22228431,8
26991678,5
24306869,8
26414388,7
20969228,5
27065192,2
24834658,6
22824665,5
24224744,3
25090524,8
26537866,8
21577709,1
22028934,6
23949377,5
22271323,6
24914524,5
27930476,1
29240608,4
29254951,6
23064702,1
24549308,3
24986988,6
26927150,6
27026729,6
21871305,2
23160786,8
27718829,4
27863435,6
20675740,5
25104329,6
24843988,2
21942099,3
26839814,8
27441722,4
22976400,5
20481185,2
24173248,4
27154855,2
21781697,2
20163211,3
28579143,5
22623960,5
24893268,6
25979720,1
27743305,8
24830762,3
21600251,3
21663968,3
24859711,7
26393527,2
22463090,1
28977819,3
26235069,7
24954370,4
26997219,3
26170689,5
29494075,7
24718607,8
27605602,6
25905927,3
27688751,1
28108393,3
20695312,4
28598405,8
25168238,8
23377911,7
28201737,1
27697763,5
20770880,8
24739965,5
22248432,6
25781828,7
24125123,5
20712921,4
29500930,8
23815053,5
24964586,8
21155579,3
25606137,1
20808587,1
24678091,3
21062449,6
28961888,6
20500606,8
26969728,2
23745542,8
20182410,6
27269480,6
20693941,8
20794782,4
25626523,2
20481399,3
23435325,8
23984620,6
20144333,4
24040947,8
22813789,1
24408296,3
25185521,7
24760888,1
21007496,4
25344741,1
20980454,4
23230775,6
29942064,8
26900283,6
24809170,6
23964638,4
24001012,3
28525576,5
28306276,7
22064066,5
28364696,8
24248315,2
20114739,7
29104152,2
22131912,4
20497535,8
22760126,2
25736536,5
26649721,1
28453296,1
21234098,7
20341262,1
27766948,2
29338669,1
29876887,7
20641713,3
22780791,2
25844443,8
28004497,5
23974794,3
21139522,8
27363932,4
21358385,5
25377484,1
27751565,6
28866445,5
23591197,5
28506194,6
24150561,8
28235894,8
27255870,3
28076285,6
25817192,8
27830037,4
28762373,5
29060412,2
27791475,4
27780515,7
28133541,8
22805151,8
26879515,2
29327534,6
27649630,7
21335959,8
23336446,7
29133347,6
20957863,6
28515073,7
26533392,7
23813456,8
25931342,1
23273415,5
28736296,3
20261931,6
21861818,8
25512216,4
25864536,6
27430307,8
29507504,5
21380977,7
20871698,3
29206016,1
27547944,2
26713735,8
28619659,5
26268269,7
22796975,8
23139683,5
24034761,5
21703733,6
29177562,6
25948117,4
23483989,8
26850912,2
22210787,8
22593788,3
23927933,1
29780258,7
23850066,2
28941670,6
26728577,1
27951680,1
26232565,4
26025005,3
26900861,7
27720331,4
24048711,6
22593086,6
22208137,6
24658458,2
23572519,1
25666419,6
21572181,8
22812705,3
20791811,8
24297119,3
22911296,1
25374167,6
28628132,8
29815029,5
27256981,3
26236133,6
27710725,8
25781598,1
28481618,7
27606854,5
24193583,4
21547022,2
27961035,5
27393962,4
26412271,7
23695613,2
26246193,3
26721640,2
24791468,6
21611853,8
29717996,2
21273427,4
29127399,8
29302547,2
28257782,3
22743877,4
28550470,8
25301201,5
20744426,8
27659802,6
29612406,5
29085029,4
22676207,4
29223845,1
27391907,1
20249259,6
22288992,5
24868166,4
25304592,8
24970444,2
26143932,4
24585349,2
29427362,4
26005806,6
21840892,8
28185072,2
27626826,8
27638441,1
21139264,3
21690840,4
21696982,4
21269773,4
20453431,7
29760872,6
27252195,4
26332311,1
26723571,6
24751803,7
23766316,1
22593596,1
23114119,2
25186659,4
27574038,1
22468936,3
25475459,1
22714442,1
24105888,6
25850737,7
27759934,7
20571979,2
25889895,4
24134440,2
28072904,5
28486288,8
20323120,7
22343500,2
20326475,5
27144138,3
25062684,7
29734577,7
21967539,3
23458910,1
29778518,4
29274949,4
20426409,2
22495547,6
20731350,4
25523447,4
23192754,6
20979663,4
25965222,5
28805903,8
22027723,5
21399644,2
24431233,3
28334453,4
23371129,5
27707727,1
26599015,6
22782126,6
20753127,1
28041604,8
20627518,5
24192593,8
20417110,5
24017449,7
24968655,6
24683623,8
23227812,2
27832214,4
23203076,4
21913333,1
26090235,2
29170233,7
26718722,4
21737160,1
26511728,3
23662778,7
26710060,7
27118260,8
23777074,8
23701149,8
28589540,8
20358802,8
20297957,6
22661316,7
24118726,8
27820888,7
26691934,1
21553008,1
26342162,4
23788534,5
28648872,7
27282966,4
23944661,8
23858499,8
26574254,2
21747281,5
26052392,2
26184409,8
20770196,8
28780238,2
25019195,8
20543228,8
22316377,6
23271334,7
21949959,7
22144907,4
27128102,3
28290887,6
29284053,4
22895167,6
22118542,3
21739583,8
24722810,7
21228108,3
26051041,5
28546081,1
29237256,2
26991344,6
23478559,4
27609786,1
22090162,3
20109621,6
23369436,6
23953377,2
29256212,6
28558443,8
25443366,1
28389662,7
28056937,8
27964074,7
26907546,6
20097246,6
25951050,6
23559218,7
28257645,8
28695309,8
25584339,8
20237875,6
20463703,5
23316634,7
29168452,1
25321921,8
26965757,3
27061446,6
23319697,7
21970182,2
20133084,5
28273444,5
20191588,5
24465890,6
24307390,4
24944017,5
28640131,5
24341745,8
22723734,7
28689443,4
26281733,3
29140507,4
25094916,8
26955685,3
23406785,1
24681088,7
24209329,7
26358871,4
25882383,8
27697173,8
21795879,8
22650281,7
28097351,3
21262316,2
23576880,6
29666923,2
20622329,3
23149637,3
21709366,1
20169365,6
20069577,6
22094192,4
25161645,4
22138940,5
28342503,4
22048140,4
21942172,4
29435650,2
28013022,2
26491021,3
25053260,4
21598943,1
29774469,3
22032335,4
25997389,8
20448222,8
24646644,7
20383773,5
21139979,2
29864394,5
23928347,6
28371773,5
25017847,6
21902470,1
22007785,4
23136144,8
26381360,7
24880293,7
21522608,4
26501792,2
23468865,7
22953653,2
22559259,8
25931439,1
25517177,4
23664520,5
27880020,4
29536602,2
21612801,6
20803733,8
23106752,3
26395067,2
20443888,7
22204532,1
21592025,6
25331501,6
27965222,4
29151610,5
25246255,7
28029894,2
29125354,3
25137499,3
26060816,7
26917824,8
24009545,8
23570765,2
24219871,1
21229471,8
29980120,5
28518490,3
22492884,4
27700421,4
23110337,8
26819437,7
28172417,6
26980304,7
26565100,7
27334113,7
23294399,8
23035728,2
26536298,5
26978823,3
23585214,8
20869843,3
21308620,2
26035257,1
22184177,4
22706210,1
21220205,6
24541662,4
26304973,5
27257386,5
29599729,3
26575666,6
22163457,8
25051903,2
22253124,5
22321352,5
25864083,8
23136064,2
29041837,8
23301240,5
22900791,4
24429615,6
24744346,3
24213551,5
24171742,8
29426177,5
29299836,5
27384338,3
29087183,7
23907157,3
20903864,8
25892355,2
21945425,3
24930595,8
27710638,1
24571966,5
21001817,8
23499584,3
20824144,8
22895947,1
21457000,8
23117366,7
29334709,3
21178720,6
25532829,8
28440142,1
27200152,2
21581027,2
29795950,1
21573562,5
28227868,6
22733138,8
26184742,2
24349177,4
27378738,8
27845842,2
28954701,4
25360833,6
25400432,4
23955338,7
27781938,7
22914348,5
26658655,8
25554595,6
23781456,5
29154257,8
20230724,8
22401723,2
20545534,2
22660521,4
28641315,6
29078588,3
24990904,8
28039966,6
20063305,2
25507596,4
26911034,8
23331754,4
29142226,1
21796764,5
23317615,8
24156498,8
24144645,6
24955181,1
22091597,4
21095047,8
26833551,5
27203952,2
20223912,8
28531070,8
26851575,2
23126129,1
20609938,8
22072572,6
22053906,4
24867161,8
29793960,4
29041072,4
28911082,8
24976329,2
25071478,7
23865570,4
26827969,7
20222485,8
20428318,5
28093726,7
29938818,8
26548497,6
23507361,8
26746349,6
25578653,3
25690478,2
26379972,8
28751391,4
24335301,2
24882163,1
27879523,6
22759340,2
28868699,1
28204481,2
26582306,5
25751638,2
28148646,4
25549255,1
20853315,6
25262826,4
21611785,8
26498808,7
22952224,6
21262458,8
25709074,4
22842353,2
